date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:12	113524/113524	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2004:29:59%20GMT	https://www.aaliacollection.com/collection/kinwani-house	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/kinwani-house.html	(from )
14:58:12	98/98	---MCZ	200	added ('OK')	text/plain	etag:W/%22bff76ef66276399ddd52c292404c3ee0%22	https://www.aaliacollection.com/robots.txt		(from )
14:58:13	9779/9779	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Apr%202025%2009:28:12%20GMT	https://use.typekit.net/glr3nfz.css	C:/My%20Web%20Sites/KinwaniHouse/use.typekit.net/glr3nfz.css	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:13	278013/278013	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2028%20Apr%202025%2009:28:12%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/KinwaniHouse/connect.facebook.net/en_US/fbevents.js	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:13	1533048/1533048	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Apr%202025%2007:10:02%20GMT	https://blupp.b-cdn.net/aalia/89f8840c-7e02-4b73-ac75-d3d67089047b/kinwani-house.png	C:/My%20Web%20Sites/KinwaniHouse/blupp.b-cdn.net/aalia/89f8840c-7e02-4b73-ac75-d3d67089047b/kinwani-house.png	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:13	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2028%20Apr%202025%2009:28:13%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/KinwaniHouse/www.googletagmanager.com/gtm.45445.delayed	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:13	6033/6033	---MCZ	200	added ('OK')	application/javascript	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://cdn.usefathom.com/script.js	C:/My%20Web%20Sites/KinwaniHouse/cdn.usefathom.com/script.js	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:16	93650/93650	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:28:15%20GMT	https://www.aaliacollection.com/collection/aalia-villas-anjuna-goa	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/aalia-villas-anjuna-goa.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:16	68/68	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2028%20Apr%202025%2009:28:15%20GMT	https://www.aaliacollection.com/collection/aalia-jungle-retreat-and-spa	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/aalia-jungle-retreat-and-spa.7.delayed	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:16	84035/84035	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2004:30:54%20GMT	https://www.aaliacollection.com/collection/aalia-jungle-retreat-and-spa-by-claridges	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/aalia-jungle-retreat-and-spa-by-claridges.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:18	89168/89168	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:28:17%20GMT	https://www.aaliacollection.com/collection/aalia-ganges-haridwar	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/aalia-ganges-haridwar.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:18	50209/50209	---MCZ	200	added ('OK')	text/css	etag:W/%22cb1cda42603ddc9c17fbf0fb9704fd54%22	https://www.aaliacollection.com/_astro/_catch_all_.BzslDaOm.css	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/_astro/_catch_all_.BzslDaOm.css	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:18	3997/3997	---MCZ	200	added ('OK')	application/javascript	etag:W/%228074c1a4204a3d9ba902dff70675af2c%22	https://www.aaliacollection.com/_astro/hoisted.DkDIYirj.js	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/_astro/hoisted.DkDIYirj.js	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:19	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2028%20Apr%202025%2009:28:19%20GMT	https://www.aaliacollection.com/collection/t	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/t	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:19	26458/26458	---M--	200	added ('OK')	image/png	etag:%22b8687121301451b21ecbaf163999f0f1%22	https://www.aaliacollection.com/www.aaliacollection.com/images/logo.png	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/www.aaliacollection.com/images/logo.png	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:19	27272/27272	---M--	200	added ('OK')	image/png	etag:%22aa1dcea90aa2336e5b64fe27a669ffd3%22	https://www.aaliacollection.com/images/video-poster.png	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/images/video-poster.png	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:20	29835/29835	---M--	200	added ('OK')	image/png	etag:%22a75440b50d24679798a1856216404475%22	https://www.aaliacollection.com/logo/preferred-lifestyle.png	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/logo/preferred-lifestyle.png	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:20	130315/130315	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Apr%202025%2009:28:20%20GMT	https://blupp.b-cdn.net/aalia/509a1345-1504-46f7-a982-d9adff816e80/2.png?quality=80&width=400	C:/My%20Web%20Sites/KinwaniHouse/blupp.b-cdn.net/aalia/509a1345-1504-46f7-a982-d9adff816e80/2cdaf.png	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:20	100570/100570	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2008:25:29%20GMT	https://www.aaliacollection.com/collection/kinwani-house/stay/maharajs-suite	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/kinwani-house/stay/maharajs-suite.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:22	97074/97074	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:28:22%20GMT	https://www.aaliacollection.com/collection/kinwani-house/stay/princess-suite	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/kinwani-house/stay/princess-suite.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:25	96014/96014	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:28:24%20GMT	https://www.aaliacollection.com/collection/kinwani-house/stay/rajkumar-suite	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/kinwani-house/stay/rajkumar-suite.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:27	95000/95000	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:28:26%20GMT	https://www.aaliacollection.com/collection/kinwani-house/stay/rani-suite	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/kinwani-house/stay/rani-suite.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:29	95841/95841	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:28:28%20GMT	https://www.aaliacollection.com/collection/kinwani-house/stay/kumari-suite	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/kinwani-house/stay/kumari-suite.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:31	99083/99083	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:28:30%20GMT	https://www.aaliacollection.com/collection/kinwani-house/stay/campaign-suite	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/kinwani-house/stay/campaign-suite.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:32	96016/96016	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:28:31%20GMT	https://www.aaliacollection.com/collection/kinwani-house/stay/valley-suite	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/kinwani-house/stay/valley-suite.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:34	94680/94680	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:28:33%20GMT	https://www.aaliacollection.com/collection/kinwani-house/stay/junior-campaign-suite	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/kinwani-house/stay/junior-campaign-suite.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:36	109378/109378	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Apr%202025%2009:28:35%20GMT	https://www.aaliacollection.com/collection/kinwani-house/stay/kinwani-house	C:/My%20Web%20Sites/KinwaniHouse/www.aaliacollection.com/collection/kinwani-house/stay/kinwani-house.html	(from https://www.aaliacollection.com/collection/kinwani-house)
14:58:37	305822/305822	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Apr%202025%2009:28:35%20GMT	https://blupp.b-cdn.net/aalia/558db8be-31ef-4f88-bd84-72865dfca05b/014a7772.jpg	C:/My%20Web%20Sites/KinwaniHouse/blupp.b-cdn.net/aalia/558db8be-31ef-4f88-bd84-72865dfca05b/014a7772.jpg	(from https://www.aaliacollection.com/collection/kinwani-house)
